dataset,sample_idx,type,instruction,question,solution,student,suffix,markup,student_suffix
gaokao-2023,0,clean,0.47167304355394385,0.025729588881160684,0.0,0.1417183154048736,0.0,0.014269045973648822,0.1417183154048736
gaokao-2023,0,attacked,0.4573333807085161,0.01694662661916293,0.0,0.05894636284176344,0.14240551418559383,0.010821539233971863,0.20135187702735727
gsm8k,0,clean,0.5859490685752374,0.012229637278038177,0.007645891720737877,0.05354973013954362,0.0,0.00980401568923146,0.05354973013954362
gsm8k,0,attacked,0.5694671673248294,0.008113930918667274,0.004578978402903228,0.02349917816926194,0.08062262610498945,0.006151466814381972,0.10412180427425138
math,0,clean,0.668854766218461,0.00661389001542339,0.005633149344619183,0.027114076102233542,0.0,0.01122672096920591,0.027114076102233542
math,0,attacked,0.4155919690304744,0.012956991370875963,0.010013115581193515,0.03203765010693775,0.14457473047188288,0.012028483161734532,0.17661238057882062
math23k,0,clean,0.6024754716044705,0.012129204795370224,0.0010689677470001495,0.03850192760177325,0.0,0.019478119447124156,0.03850192760177325
math23k,0,attacked,0.5148834862420867,0.023149738515749408,0.0010376515265989106,0.034526829294461936,0.14065519038860969,0.007961686529455612,0.17518201968307162
scientsbank,0,clean,0.6409847833695634,0.014246989888119314,0.0031504686893602633,0.011904257370815784,0.0,0.02221708995930962,0.011904257370815784
scientsbank,0,attacked,0.45068185592169574,0.02147666533206173,0.004101718957243252,0.012384815793215934,0.16757947482948013,0.018339677923954946,0.17996429062269606
