dataset,sample_idx,type,verification,pred,instruction,question,solution,student,suffix,markup,student_suffix
gaokao-2023,0,clean,incorrect,incorrect,0.47167304355394385,0.025729588881160684,0.0,0.1417183154048736,0.0,0.014269045973648822,0.1417183154048736
gaokao-2023,1,clean,incorrect,incorrect,0.520091227599014,0.01865188081047048,0.0,0.10870702546008235,0.0,0.029155433353753743,0.10870702546008235
gaokao-2023,2,clean,incorrect,incorrect,0.468316591228063,0.032048532825740356,0.0,0.07697084798884157,0.0,0.021906727883117143,0.07697084798884157
gaokao-2023,3,clean,incorrect,incorrect,0.5950589419724767,0.02253454848994839,0.004422461462792176,0.047206953337216376,0.0,0.021225624652742123,0.047206953337216376
gaokao-2023,4,clean,incorrect,incorrect,0.4107063095989515,0.0428634437115302,0.0,0.0863433579075169,0.0,0.015063742082529441,0.0863433579075169
gaokao-2023,5,clean,incorrect,incorrect,0.48204829272296246,0.03704793793869302,0.0026177416560398624,0.1835748707573988,0.0,0.011560558317562636,0.1835748707573988
gaokao-2023,6,clean,incorrect,incorrect,0.45401807191952664,0.03290143974359124,0.003875998954545706,0.12405780604248566,0.0,0.011862271001921698,0.12405780604248566
gaokao-2023,7,clean,incorrect,incorrect,0.6300238169309735,0.013193699259775751,0.0,0.03366344801628658,0.0,0.011415621605894755,0.03366344801628658
gaokao-2023,8,clean,incorrect,incorrect,0.5150544141922557,0.02881852615322099,0.0,0.11122070142556324,0.0,0.00866228557323482,0.11122070142556324
gaokao-2023,9,clean,incorrect,correct,0.5329120211456487,0.03743070057372896,0.009593257986604478,0.0,0.0,0.053832231122283726,0.0
gaokao-2023,10,clean,correct,correct,0.5066511243893538,0.02385081319443584,0.0,0.1546880999863745,0.0,0.010168622671874211,0.1546880999863745
gaokao-2023,11,clean,incorrect,incorrect,0.5845453272322627,0.03216588278665528,0.0,0.05506706764337613,0.0,0.020260929764887844,0.05506706764337613
gaokao-2023,12,clean,incorrect,incorrect,0.5775533275867296,0.0261265756673249,0.003577817744424894,0.06390708967721787,0.0,0.021516466009093342,0.06390708967721787
gaokao-2023,13,clean,incorrect,incorrect,0.6159464924823548,0.029953847304561805,0.004918890424471277,0.03662526209661037,0.0,0.018530725549136057,0.03662526209661037
gaokao-2023,14,clean,incorrect,incorrect,0.6401674677460383,0.01612725251614609,0.0,0.027476913536195906,0.0,0.021179379226662277,0.027476913536195906
gaokao-2023,15,clean,incorrect,incorrect,0.5398535762542354,0.014321732980950436,0.0,0.08630365522031205,0.0,0.009120895903433325,0.08630365522031205
gaokao-2023,16,clean,incorrect,incorrect,0.47797003497809587,0.02307600559140937,0.0,0.149841621053124,0.0,0.014967756282396159,0.149841621053124
gaokao-2023,17,clean,incorrect,incorrect,0.5289272677372908,0.020783548189329013,0.0,0.07768041597117496,0.0,0.013994606027186088,0.07768041597117496
gaokao-2023,18,clean,incorrect,correct,0.4601481389315257,0.017485680765357864,0.0,0.2209721383489716,0.0,0.009122549336838192,0.2209721383489716
gaokao-2023,19,clean,correct,correct,0.5639446624662842,0.02133189781112165,0.0,0.014490470320762035,0.0,0.04993662475372902,0.014490470320762035
gaokao-2023,0,attacked,incorrect,correct,0.6071594166035567,0.012402516494034269,0.0,0.05409759283166095,0.042980786440178304,0.00919150763750208,0.09707837927183925
