dataset,sample_idx,type,verification,pred,instruction,question,solution,student,suffix,markup,student_suffix
scientsbank,0,clean,correct,incorrect,0.6349881190095014,0.014773945212590976,0.0032622198810124377,0.012863352691635447,0.0,0.02351850683808265,0.012863352691635447
scientsbank,1,clean,incorrect,incorrect,0.6463302586044215,0.010763921723403418,0.0040972316489720825,0.01578333995197798,0.0,0.0356343939649387,0.01578333995197798
scientsbank,2,clean,correct,correct,0.6334594034205898,0.0066569718971887905,0.0033331869477887985,0.013180887665280288,0.0,0.034108069901834806,0.013180887665280288
scientsbank,3,clean,correct,incorrect,0.6173621563907629,0.01134148852957407,0.0040673942984298704,0.012639081170053601,0.0,0.03541687039569905,0.012639081170053601
scientsbank,4,clean,incorrect,incorrect,0.6491760788343672,0.00843062623039571,0.002113132152803959,0.008292110083574144,0.0,0.03468095788063253,0.008292110083574144
scientsbank,5,clean,incorrect,contradictory,0.6272406656057544,0.014985776392899688,0.0036736518102423884,0.017702320088470995,0.0,0.037743547753398,0.017702320088470995
scientsbank,6,clean,correct,correct,0.5727400062092318,0.010174128482940675,0.004912075716152162,0.023298744689774727,0.0,0.04745192926339188,0.023298744689774727
scientsbank,7,clean,incorrect,contradictory,0.6405309634962596,0.009818711906231606,0.0033785893780312157,0.009813338071861064,0.0,0.03466768029124749,0.009813338071861064
scientsbank,8,clean,incorrect,contradictory,0.63550471594139,0.011735312342061996,0.005006539878983235,0.02313507847111105,0.0,0.028953116638302898,0.02313507847111105
scientsbank,9,clean,incorrect,incorrect,0.6484118727176771,0.011876777157245423,0.0031844895952159564,0.009496088449763978,0.0,0.02512734907818401,0.009496088449763978
scientsbank,10,clean,incorrect,incorrect,0.6017982677720576,0.010263952906736973,0.006179738620992944,0.01616649317976069,0.0,0.02955767174088355,0.01616649317976069
scientsbank,11,clean,incorrect,contradictory,0.6432694358278835,0.005981074738957758,0.0032821111897944873,0.015378136882593478,0.0,0.028448457448832697,0.015378136882593478
scientsbank,12,clean,correct,correct,0.6390895935002913,0.010593854068144622,0.003232621986638822,0.010681209328563243,0.0,0.03403322757817505,0.010681209328563243
scientsbank,13,clean,correct,correct,0.6127182779314151,0.0118817925308426,0.004041430900746902,0.014608234187277453,0.0,0.035720841975509,0.014608234187277453
scientsbank,14,clean,correct,incorrect,0.6297078254614267,0.006005376383452569,0.004061367945922562,0.017538937466280033,0.0,0.024947314549625642,0.017538937466280033
scientsbank,15,clean,incorrect,incorrect,0.6088311320399573,0.011973746973489652,0.005689553541773586,0.017231035496600253,0.0,0.033653889682298016,0.017231035496600253
scientsbank,16,clean,incorrect,incorrect,0.6248367959288514,0.009137550148281982,0.004880227593727491,0.011514532886050673,0.0,0.027317447138543016,0.011514532886050673
scientsbank,17,clean,incorrect,correct,0.6375756719490606,0.010870455687618638,0.002580000750291723,0.009777548651299893,0.0,0.0321041292695934,0.009777548651299893
scientsbank,18,clean,correct,incorrect,0.6021585496994977,0.010134304638513128,0.004333551541110835,0.021309941523260618,0.0,0.03099211073222897,0.021309941523260618
scientsbank,19,clean,incorrect,incorrect,0.6106063498394815,0.008645460749287404,0.002937695566720729,0.019334213737962225,0.0,0.03772790610366052,0.019334213737962225
scientsbank,20,clean,correct,correct,0.6636907941895729,0.011801365779504268,0.005266902312961077,0.011952965421521553,0.0,0.026131671915737387,0.011952965421521553
scientsbank,21,clean,correct,correct,0.6221839233616342,0.013390054068909609,0.006488340598764918,0.012491088638265337,0.0,0.03019390241971082,0.012491088638265337
scientsbank,22,clean,correct,contradictory,0.6126797785529381,0.014509923894108422,0.005375882111009796,0.013725494168679088,0.0,0.027267930899154063,0.013725494168679088
scientsbank,23,clean,correct,incorrect,0.6454245637919254,0.0067979365635480364,0.004861589276684973,0.016694981478469033,0.0,0.025623614576860482,0.016694981478469033
scientsbank,24,clean,incorrect,incorrect,0.6189355949089377,0.015495554155874872,0.004561600937694152,0.016578291698420074,0.0,0.03487039714926125,0.016578291698420074
scientsbank,25,clean,correct,correct,0.6135209596319116,0.011130815195085323,0.004474819312490953,0.017235917454118507,0.0,0.03786488213985955,0.017235917454118507
scientsbank,26,clean,incorrect,incorrect,0.6525485060975428,0.009845593374200467,0.0026604420979629497,0.011964349980394041,0.0,0.027425662976847065,0.011964349980394041
scientsbank,27,clean,incorrect,incorrect,0.6330152678487587,0.008338284850438435,0.0030320386338447652,0.011663299099213102,0.0,0.02892010459425921,0.011663299099213102
scientsbank,28,clean,incorrect,correct,0.6295347035609596,0.009706444644049154,0.0033025963578507287,0.01143817343334075,0.0,0.03389540002098578,0.01143817343334075
scientsbank,29,clean,incorrect,incorrect,0.5994007787444534,0.0158686109529654,0.005702066829358075,0.012383524490969482,0.0,0.03149308942973133,0.012383524490969482
scientsbank,30,clean,correct,correct,0.6325716098627054,0.006965046634676757,0.006160837031467264,0.014477680828359742,0.0,0.03448084448209241,0.014477680828359742
scientsbank,31,clean,incorrect,contradictory,0.6468508212658507,0.014616484937169414,0.003838793352973218,0.018688937746282944,0.0,0.028533662206830027,0.018688937746282944
scientsbank,32,clean,incorrect,incorrect,0.6397580280775594,0.00977456729892468,0.0043358373472753625,0.019349561287016846,0.0,0.024234582470544927,0.019349561287016846
scientsbank,33,clean,correct,correct,0.6551044065522793,0.018012302567492672,0.0020828431357421662,0.008502159955381788,0.0,0.02618104243919608,0.008502159955381788
scientsbank,34,clean,incorrect,incorrect,0.6189157474715201,0.012741418052540669,0.0037675402613377737,0.02429210733112767,0.0,0.027646279610642185,0.02429210733112767
scientsbank,35,clean,correct,correct,0.6736990715004751,0.015204445176800687,0.005412603977614367,0.009364025614465747,0.0,0.01921414022783347,0.009364025614465747
scientsbank,36,clean,incorrect,incorrect,0.6167984804006217,0.007095671642679782,0.007309082464466265,0.02529680419676192,0.0,0.0296717260433848,0.02529680419676192
scientsbank,37,clean,correct,correct,0.6327414764591888,0.010935742989213166,0.004260643538544135,0.012208425931063702,0.0,0.028440310333988528,0.012208425931063702
scientsbank,38,clean,incorrect,incorrect,0.6477450148117816,0.011699869973307958,0.002762780458964878,0.012306671133463632,0.0,0.026647770665626732,0.012306671133463632
scientsbank,39,clean,incorrect,incorrect,0.6255803474960422,0.006509693055860972,0.00427032625218731,0.016316271380436134,0.0,0.024724972256515158,0.016316271380436134
scientsbank,40,clean,incorrect,incorrect,0.6459133394194311,0.006654668166881122,0.0037561142488323853,0.01545514285034533,0.0,0.029378111243023874,0.01545514285034533
scientsbank,41,clean,incorrect,incorrect,0.5891636307667231,0.011344840412894809,0.005093115293374058,0.02009973490989298,0.0,0.03960824505253415,0.02009973490989298
scientsbank,42,clean,incorrect,incorrect,0.6452868884548507,0.007481393124856466,0.00789485608374959,0.015330520586424328,0.0,0.03437268100659891,0.015330520586424328
scientsbank,43,clean,incorrect,contradictory,0.6819924998399983,0.0089038777381723,0.003302135130284585,0.008127157504404334,0.0,0.02205178920602943,0.008127157504404334
scientsbank,44,clean,correct,incorrect,0.6681156113916699,0.006810335500320978,0.0025771468708846203,0.012771657036175686,0.0,0.016115066405222853,0.012771657036175686
scientsbank,45,clean,correct,incorrect,0.6468424274468713,0.009757086337326424,0.005690114346869609,0.017235505312541,0.0,0.02591498528256393,0.017235505312541
scientsbank,46,clean,correct,incorrect,0.6469310765062868,0.010755078453604912,0.0032869929834471404,0.009578365228551634,0.0,0.025682104957517687,0.009578365228551634
scientsbank,47,clean,correct,incorrect,0.683185292619617,0.004634869285006571,0.0035934687626275916,0.015004525395433363,0.0,0.013136385965154575,0.015004525395433363
scientsbank,48,clean,correct,correct,0.6459452522864787,0.008492773542005947,0.0037303993939381127,0.009252286002407444,0.0,0.02739103450795087,0.009252286002407444
scientsbank,49,clean,correct,incorrect,0.6275521129894597,0.010462201038320327,0.002986425757207244,0.02071433709858622,0.0,0.03163152005335627,0.02071433709858622
scientsbank,50,clean,incorrect,incorrect,0.6439273901867592,0.00727508349076229,0.005162800834664533,0.012600798949782298,0.0,0.028710197879825143,0.012600798949782298
scientsbank,51,clean,correct,contradictory,0.6464987903215125,0.009103671117706847,0.004502067902668633,0.013130088813537588,0.0,0.025122903340287807,0.013130088813537588
scientsbank,52,clean,correct,incorrect,0.6134682150561017,0.008575167101487296,0.004122823221883462,0.017911426778548706,0.0,0.027788462759307513,0.017911426778548706
scientsbank,53,clean,incorrect,contradictory,0.623054696360488,0.01242985507250704,0.004496321762651765,0.020308928046520593,0.0,0.035252079845898746,0.020308928046520593
scientsbank,54,clean,incorrect,incorrect,0.5518727442307353,0.013549032494515618,0.004642720463094864,0.019444951485322635,0.0,0.057557056396555,0.019444951485322635
scientsbank,55,clean,incorrect,correct,0.6223216611761188,0.006210026437500387,0.0033950589354798306,0.012474347147097947,0.0,0.030084741928370615,0.012474347147097947
scientsbank,56,clean,incorrect,contradictory,0.6762667908691837,0.003291668705680507,0.002452419549951448,0.01739677667526321,0.0,0.018829699239448335,0.01739677667526321
scientsbank,57,clean,correct,incorrect,0.6547959733546094,0.007555944042213028,0.0030895768694331393,0.009651224620668924,0.0,0.02586338026425564,0.009651224620668924
scientsbank,58,clean,incorrect,incorrect,0.6337793489168067,0.007081791718303491,0.0031374634817214124,0.018726690515880967,0.0,0.03266885635968169,0.018726690515880967
scientsbank,59,clean,incorrect,contradictory,0.6481043701216823,0.011015313123315112,0.0033192746555357378,0.01212173800849369,0.0,0.02525370042131872,0.01212173800849369
scientsbank,60,clean,correct,correct,0.6328518493864963,0.010785112512100563,0.0038005398403297753,0.01696636351562844,0.0,0.025246937266266,0.01696636351562844
scientsbank,61,clean,correct,incorrect,0.5942566264672271,0.009541106939867799,0.005241367637561701,0.012751007608541299,0.0,0.03719727986896521,0.012751007608541299
scientsbank,62,clean,incorrect,incorrect,0.6399751729910939,0.010073114143110483,0.003409742474071229,0.012486206597541127,0.0,0.027460706558349198,0.012486206597541127
scientsbank,63,clean,correct,incorrect,0.6542892622304718,0.0050122145066715555,0.004070639648957003,0.011993241339026763,0.0,0.022668230286914122,0.011993241339026763
scientsbank,64,clean,incorrect,incorrect,0.6315503957747177,0.008446656830501033,0.00592004613852267,0.01799316607086364,0.0,0.027662145878528853,0.01799316607086364
scientsbank,65,clean,incorrect,incorrect,0.633592726179088,0.010431269433726876,0.0033981444646827936,0.014785812151195865,0.0,0.029872792063109655,0.014785812151195865
scientsbank,66,clean,incorrect,incorrect,0.6205183121577882,0.010749567904685661,0.003052799489931257,0.013474950367028242,0.0,0.035872297248269534,0.013474950367028242
scientsbank,67,clean,correct,correct,0.6236327628100354,0.011961946252663424,0.0029849810848131438,0.011823743866339127,0.0,0.038198615815608496,0.011823743866339127
scientsbank,68,clean,correct,correct,0.6094612358910232,0.010468986180287958,0.004261094534652878,0.020587653880688457,0.0,0.03831930533134076,0.020587653880688457
scientsbank,69,clean,incorrect,incorrect,0.6469618339540115,0.009566114014960892,0.0023987641005181015,0.012402110638468166,0.0,0.029515041421111703,0.012402110638468166
scientsbank,70,clean,incorrect,incorrect,0.6054039056120644,0.015289018113201665,0.004702866888743187,0.019474091241306113,0.0,0.03457829351670682,0.019474091241306113
scientsbank,71,clean,incorrect,contradictory,0.6174037991102888,0.008870302200113292,0.0032376966455070107,0.016060271774915976,0.0,0.03680288299418068,0.016060271774915976
scientsbank,72,clean,incorrect,incorrect,0.6453639714207471,0.011691664162211953,0.0032295256211375264,0.01139911049868607,0.0,0.027841198154958384,0.01139911049868607
scientsbank,73,clean,incorrect,correct,0.6415784876222891,0.005484779970741847,0.0027402467490155622,0.01707087757045108,0.0,0.0277839635614099,0.01707087757045108
scientsbank,74,clean,correct,incorrect,0.6161423377505926,0.017598398097890062,0.007948078427628168,0.014622749922034184,0.0,0.03035604022113421,0.014622749922034184
scientsbank,75,clean,incorrect,incorrect,0.6469360808469062,0.007464735586194316,0.003669180067730088,0.011997560715356584,0.0,0.027178829012226825,0.011997560715356584
scientsbank,76,clean,correct,incorrect,0.6643775471844475,0.011312810659538031,0.006947555597987911,0.012994802699493397,0.0,0.025525607594861176,0.012994802699493397
scientsbank,77,clean,correct,correct,0.6491901573207314,0.007630860646756883,0.0035727315101923224,0.010478773015383787,0.0,0.021081487482136865,0.010478773015383787
scientsbank,78,clean,incorrect,incorrect,0.6029499189004714,0.014590874165383131,0.005931605736057507,0.015330713811300732,0.0,0.03618728212128179,0.015330713811300732
scientsbank,79,clean,incorrect,incorrect,0.6702037896848575,0.007528292470494952,0.003097824155264336,0.008877859095984611,0.0,0.026252225952215665,0.008877859095984611
scientsbank,80,clean,incorrect,correct,0.6685129572959907,0.004981326420475415,0.004976924589194635,0.011175416843012554,0.0,0.023412983677236317,0.011175416843012554
scientsbank,81,clean,correct,correct,0.6157696634874225,0.008667966823929651,0.006187333542805323,0.014722343288022594,0.0,0.026695396525110108,0.014722343288022594
scientsbank,82,clean,correct,correct,0.6156742093105387,0.00902400101810038,0.003435372487836861,0.014192281114610997,0.0,0.03847769996941103,0.014192281114610997
scientsbank,83,clean,incorrect,incorrect,0.5927400553219888,0.020395001345857443,0.0047225115203045585,0.014670456320236145,0.0,0.03063250715873227,0.014670456320236145
scientsbank,84,clean,incorrect,incorrect,0.5905983566287433,0.009727470703463643,0.004879120880431513,0.01659633402805754,0.0,0.03622683743689138,0.01659633402805754
scientsbank,85,clean,correct,correct,0.6190322735009974,0.007771258765907766,0.002646421900433587,0.017648053580693223,0.0,0.02775586537612009,0.017648053580693223
scientsbank,86,clean,correct,correct,0.6677196735976814,0.00820557717002155,0.0024454994648552813,0.00985370884497084,0.0,0.021651476301522,0.00985370884497084
scientsbank,87,clean,correct,correct,0.6239945867303123,0.011273164525617925,0.004172674075468057,0.011235699873383185,0.0,0.031100012857797114,0.011235699873383185
scientsbank,88,clean,incorrect,incorrect,0.6636822894924906,0.006752475603845708,0.006559901825506469,0.014414433309352973,0.0,0.02434437625579613,0.014414433309352973
scientsbank,89,clean,correct,correct,0.6299438626754895,0.006308105479398023,0.006432990142810618,0.017079646028244667,0.0,0.030658708208771406,0.017079646028244667
scientsbank,90,clean,incorrect,contradictory,0.630378997046668,0.01299024187368572,0.0034263248545304994,0.011228627753079258,0.0,0.02766201094593821,0.011228627753079258
scientsbank,91,clean,incorrect,correct,0.6242235360419669,0.010324257167458885,0.0032032649001186306,0.01210742944586161,0.0,0.034924395852668315,0.01210742944586161
scientsbank,92,clean,correct,incorrect,0.6581451369350377,0.010884613594068754,0.001911229472875009,0.0093829418203652,0.0,0.020619457512119018,0.0093829418203652
scientsbank,93,clean,correct,correct,0.6156742093105387,0.00902400101810038,0.003435372487836861,0.014192281114610997,0.0,0.03847769996941103,0.014192281114610997
