dataset,sample_idx,type,verification,pred,instruction,question,solution,student,suffix,markup,student_suffix
scientsbank,0,clean,correct,incorrect,0.6409847833695634,0.014246989888119314,0.0031504686893602633,0.011904257370815784,0.0,0.02221708995930962,0.011904257370815784
scientsbank,1,clean,incorrect,incorrect,0.648115386857742,0.010534374345902518,0.004273197940530771,0.014680456355748746,0.0,0.03394855532266897,0.014680456355748746
scientsbank,2,clean,correct,correct,0.6328059512018341,0.006773367796817814,0.0036940328730395247,0.011593014845915755,0.0,0.03262992785738817,0.011593014845915755
scientsbank,3,clean,correct,incorrect,0.6125845669287582,0.010826952513099357,0.0042352125851633365,0.011928160269147009,0.0,0.033956132401386174,0.011928160269147009
scientsbank,4,clean,incorrect,incorrect,0.6541636035245126,0.008108040011537495,0.002038107767157293,0.007241085950340885,0.0,0.03203655124414669,0.007241085950340885
scientsbank,5,clean,incorrect,incorrect,0.6272875137357325,0.013263520688636331,0.0033908930759872376,0.016137486081054808,0.0,0.03683556605458163,0.016137486081054808
scientsbank,6,clean,correct,correct,0.579866445787583,0.009924771484298022,0.0049723433080119,0.021400538197490968,0.0,0.04460226291944979,0.021400538197490968
scientsbank,7,clean,incorrect,correct,0.675705141384227,0.0039646773657261445,0.0025340911539486716,0.00996184190742606,0.0,0.021257008735540123,0.00996184190742606
scientsbank,8,clean,incorrect,incorrect,0.6341054101015222,0.012144700038738371,0.005228070522674705,0.022992636370931175,0.0,0.028829265367144735,0.022992636370931175
scientsbank,9,clean,correct,incorrect,0.6188482338635812,0.011095642620154675,0.0043697263283571566,0.013974742453197363,0.0,0.03396913950728127,0.013974742453197363
scientsbank,10,clean,incorrect,incorrect,0.5929874860589638,0.008530651699674943,0.00567360276395783,0.020748740244847713,0.0,0.03549086501837287,0.020748740244847713
scientsbank,11,clean,incorrect,incorrect,0.6369239898041293,0.006047260242060591,0.0034843091543088514,0.014758866182142446,0.0,0.027571717496764625,0.014758866182142446
scientsbank,12,clean,correct,correct,0.63555679118176,0.010058145600606987,0.0032036773888289446,0.010414215680871117,0.0,0.03317600747842502,0.010414215680871117
scientsbank,13,clean,correct,correct,0.6283588854849556,0.010328784668244068,0.0033631997632765174,0.011453477534844913,0.0,0.030321970045824043,0.011453477534844913
scientsbank,14,clean,correct,incorrect,0.6260450783365137,0.005896164078513096,0.00430924872836101,0.016393119242790837,0.0,0.024318875824112234,0.016393119242790837
scientsbank,15,clean,incorrect,incorrect,0.6109732490763337,0.011118824558355202,0.005314707704918165,0.014806643497748037,0.0,0.031884197835603596,0.014806643497748037
scientsbank,16,clean,incorrect,correct,0.6721504015592441,0.006901938771773591,0.0024746637196237787,0.006214692552509416,0.0,0.02168190622671382,0.006214692552509416
scientsbank,17,clean,incorrect,incorrect,0.6489675927997256,0.011224315094030095,0.003646071018448093,0.013585909653557634,0.0,0.03291008605133253,0.013585909653557634
scientsbank,18,clean,correct,incorrect,0.598502629571433,0.010224946138037903,0.004387303803120173,0.020799210892101863,0.0,0.03222488028386421,0.020799210892101863
scientsbank,19,clean,incorrect,incorrect,0.6398562620283303,0.009316222168830757,0.004056653648182157,0.015372933070333085,0.0,0.028414787092340143,0.015372933070333085
scientsbank,20,clean,correct,correct,0.6591022169205575,0.011314302114933743,0.005162414904975251,0.011848157529737446,0.0,0.02466349210751261,0.011848157529737446
scientsbank,21,clean,incorrect,incorrect,0.6601406497021335,0.009846333015701019,0.0033956413944019746,0.014490649461796989,0.0,0.020437380800182047,0.014490649461796989
scientsbank,22,clean,correct,correct,0.644856965160605,0.010467247032791472,0.0042729220841452135,0.010359494514675896,0.0,0.02690589612424887,0.010359494514675896
scientsbank,23,clean,correct,incorrect,0.6483030264611864,0.005955009465410405,0.004840766530094529,0.01633842034040955,0.0,0.02422764126020162,0.01633842034040955
scientsbank,24,clean,correct,incorrect,0.6309010571695561,0.00973867819472102,0.0043930007672764075,0.010123032921233255,0.0,0.028278763162373002,0.010123032921233255
scientsbank,25,clean,correct,incorrect,0.6302046003049387,0.010217994988715572,0.003280486551418936,0.014897245881450904,0.0,0.027511418201367304,0.014897245881450904
scientsbank,26,clean,incorrect,incorrect,0.6573900492467858,0.008462202757743623,0.0025893230524223344,0.01036015650510131,0.0,0.024747512359434704,0.01036015650510131
scientsbank,27,clean,incorrect,incorrect,0.6298628142710592,0.008871962930751084,0.003146560234306531,0.011637975591955597,0.0,0.028480428657953864,0.011637975591955597
scientsbank,28,clean,incorrect,correct,0.6262357587468441,0.008511486241522611,0.0035280328177479466,0.011030455990746885,0.0,0.02963281084796333,0.011030455990746885
scientsbank,29,clean,correct,correct,0.6057292182257743,0.006831743275300887,0.005367116749101604,0.02183295385830096,0.0,0.03384575383540126,0.02183295385830096
scientsbank,30,clean,correct,correct,0.6326317883055271,0.006541173526296761,0.006305434109076747,0.012744215767288049,0.0,0.03236916506991906,0.012744215767288049
scientsbank,31,clean,incorrect,incorrect,0.6462238722879615,0.013861314659062195,0.004244932308268909,0.017572532981558635,0.0,0.02871381243455898,0.017572532981558635
scientsbank,32,clean,incorrect,incorrect,0.6411281592338531,0.00903227670957816,0.004396120398669795,0.01777173349039564,0.0,0.023295664414031136,0.01777173349039564
scientsbank,33,clean,correct,correct,0.6603520290655068,0.016709156967060997,0.0019743416481874504,0.007409134601657895,0.0,0.023922415844222587,0.007409134601657895
scientsbank,34,clean,incorrect,incorrect,0.6281212723977653,0.012525398453401943,0.0035064542407483423,0.022239536575499572,0.0,0.025759566031334693,0.022239536575499572
scientsbank,35,clean,correct,correct,0.6758383153279607,0.014848506971659596,0.00598304623726981,0.008237557276942668,0.0,0.018728819675483878,0.008237557276942668
scientsbank,36,clean,incorrect,incorrect,0.6227766709992139,0.006899834061635254,0.0072457548909113535,0.022985152622973872,0.0,0.027269615566294376,0.022985152622973872
scientsbank,37,clean,incorrect,incorrect,0.6385091735097077,0.007969082111982391,0.0032663678539653156,0.015247112185948196,0.0,0.030815377186244348,0.015247112185948196
scientsbank,38,clean,incorrect,incorrect,0.644427366199522,0.011059315375856674,0.002911086139142518,0.012331128303541973,0.0,0.026232184200786542,0.012331128303541973
scientsbank,39,clean,incorrect,incorrect,0.6172082386747054,0.006136547310491183,0.004580981156339592,0.01563540967589606,0.0,0.023166116736823335,0.01563540967589606
scientsbank,40,clean,incorrect,incorrect,0.6461923893214038,0.0065201420842270754,0.0039361862944008,0.01478070342302101,0.0,0.02703889442891392,0.01478070342302101
scientsbank,41,clean,incorrect,incorrect,0.6433453656122173,0.006752298111186512,0.0038613361824128235,0.006798852932157428,0.0,0.025920388214120682,0.006798852932157428
scientsbank,42,clean,incorrect,incorrect,0.6518564346855229,0.0067510829921845926,0.007224354298474135,0.013363066617045031,0.0,0.030121682173427613,0.013363066617045031
scientsbank,43,clean,incorrect,incorrect,0.6878199936231425,0.00936948776768933,0.003341563900765801,0.00788246799758392,0.0,0.021347874141497237,0.00788246799758392
scientsbank,44,clean,incorrect,incorrect,0.5957803256623536,0.011868221325336348,0.002486983610120279,0.014702658184168334,0.0,0.039044403476629595,0.014702658184168334
